rank,family name
1,陳
2,林
3,黃
4,張
5,李
6,王
7,吳
8,劉
9,蔡
10,楊
11,許
12,鄭
13,謝
14,洪
15,郭
16,邱
17,曾
18,廖
19,賴
20,徐
21,周
22,葉
23,蘇
24,莊
25,江
26,呂
27,何
28,蕭
29,羅
30,高
31,潘
32,簡
33,朱
34,鍾
35,游
36,彭
37,詹
38,胡
39,施
40,沈
41,余
42,盧
43,梁
44,趙
45,顏
46,柯
47,翁
48,魏
49,孫
50,戴
51,范
52,方
53,宋
54,鄧
55,杜
56,侯
57,傅
58,曹
59,薛
60,阮
61,丁
62,卓
63,馬
64,温
65,董
66,藍
67,古
68,石
69,紀
70,唐
71,蔣
72,姚
73,連
74,歐
75,馮
76,程
77,湯
78,田
79,康
80,黄
81,姜
82,白
83,汪
84,尤
85,鄒
86,黎
87,巫
88,鐘
89,涂
90,龔
91,嚴
92,韓
93,袁
94,金
95,童
96,陸
97,柳
98,凃
99,夏
100,邵
101,錢
102,伍
103,倪
104,溫
105,駱
106,譚
107,于
108,甘
109,熊
110,任
111,秦
112,章
113,毛
114,官
115,顧
116,史
117,萬
118,俞
119,粘
120,雷
121,饒
122,張簡
123,闕
124,凌
125,武
126,孔
127,尹
128,崔
129,辛
130,歐陽
131,辜
132,陶
133,段
134,易
135,龍
136,韋
137,池
138,葛
139,褚
140,孟
141,麥
142,殷
143,莫
144,文
145,賀
146,賈
147,管
148,關
149,包
150,向
151,丘
152,范姜
153,梅
154,華
155,裴
156,利
157,全
158,樊
159,房
160,佘
161,花
162,安
163,左
164,魯
165,塗
166,穆
167,鮑
168,蒲
169,郝
170,谷
171,成
172,邢
173,練
174,閻
175,鄔
176,陽
177,盛
178,常
179,符
180,耿
181,解
182,繆
183,申
184,聶
185,祝
186,岳
187,曲
188,籃
189,齊
190,應
191,舒
192,單
193,喬
194,畢
195,留
196,鄞
197,翟
198,牛
199,龎
200,覃